epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2682.23,0.96735,0.55161,1.05428,0.87812,0.80007,0.85254,0.54915,1.02359,0.54311,1.08898,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,2770.04,0.9713,0.55299,1.05689,0.88961,0.79474,0.85578,0.54516,1.02893,0.5453,1.09007,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,2859.28,0.96046,0.54593,1.04914,0.91821,0.7866,0.85894,0.55154,1.02684,0.53754,1.08892,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,2947.09,0.95604,0.54568,1.04822,0.89335,0.79351,0.85896,0.54879,1.02667,0.54283,1.08882,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,3035.64,0.95665,0.54555,1.04945,0.87902,0.80285,0.85755,0.55363,1.01655,0.53576,1.08752,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,3125.05,0.95485,0.54117,1.04885,0.86797,0.82627,0.8642,0.55398,1.02677,0.53494,1.09371,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,3212.41,0.94444,0.53361,1.04301,0.88526,0.79472,0.85387,0.54752,1.0204,0.5315,1.08882,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,3301.61,0.94714,0.53657,1.04643,0.88163,0.80402,0.85584,0.5544,1.02163,0.53545,1.08959,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,3389.73,0.93999,0.53042,1.04032,0.92157,0.7865,0.86057,0.55075,1.02253,0.53406,1.08771,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,3477.05,0.93687,0.52838,1.03915,0.88562,0.79488,0.86125,0.55617,1.02045,0.53583,1.08823,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,3566.91,0.93879,0.52733,1.03951,0.91329,0.77566,0.85933,0.55466,1.0212,0.53431,1.09032,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,3665.63,0.90797,0.45971,1.01678,0.90823,0.78057,0.85923,0.54912,1.01871,0.53588,1.09091,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,3753.08,0.89404,0.4487,1.00829,0.91961,0.78048,0.85598,0.54987,1.02039,0.53322,1.09057,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,3841.67,0.88695,0.44435,1.00692,0.87975,0.79869,0.85872,0.55214,1.02048,0.53622,1.0901,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,3927.66,0.889,0.44392,1.00363,0.90394,0.80194,0.8562,0.55255,1.01846,0.5322,1.08996,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,4016.09,0.88059,0.44019,1.00161,0.90387,0.80861,0.85897,0.55784,1.01376,0.53115,1.08698,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
46,4103.58,0.87635,0.43451,0.99761,0.89721,0.80468,0.85758,0.55501,1.01812,0.53184,1.0914,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
47,4190.02,0.8727,0.43425,0.99606,0.8971,0.79977,0.85811,0.55705,1.01422,0.53374,1.0898,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
48,4278.66,0.87218,0.43152,0.99603,0.90161,0.79887,0.85867,0.55674,1.01529,0.53345,1.08931,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
49,4365.31,0.86855,0.43052,0.99336,0.90463,0.80535,0.85813,0.55322,1.01671,0.53227,1.0904,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
50,4452.1,0.86962,0.43012,0.99638,0.90233,0.80602,0.85925,0.55247,1.01798,0.53168,1.09066,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
